Customer ID,Name,Email,Age,Gender,Signup Date,Source,Loyalty Tier
59,Jeffery Mcfarland,andrea94@hotmail.com,19,Male,2024-09-14,Organic,Gold
60,Stephen Knight,bradleyvega@yahoo.com,53,Male,2024-02-24,Social,Bronze
61,Cheryl Buck,katherinenewman@richardson-jones.org,62,Male,2024-10-13,Social,Bronze
62,Nichole Hill,joann97@johnson-franco.info,62,Female,2024-12-24,Social,Bronze
63,Eric Stanton,krush@hotmail.com,41,Male,2024-10-08,Organic,Platinum
64,David Rowe,oking@peterson-foster.biz,47,Male,2025-04-30,Organic,Platinum
65,Melanie Calderon,nancy60@gmail.com,36,Male,2025-08-13,Ads,Silver
66,Joyce Vasquez,jessicadean@turner.info,32,Female,2024-12-30,Ads,Platinum
67,Rebecca Smith,jcampos@gmail.com,56,Female,2024-07-03,Social,Silver
68,Samuel Cunningham,heathermartinez@hotmail.com,59,Female,2025-10-12,Social,Bronze
69,Jason King,katherinedavis@yahoo.com,60,Male,2023-11-15,Ads,Bronze
70,Kayla Richardson,alec42@conley-doyle.com,23,Male,2023-01-10,Organic,Bronze
71,Patricia Lucas,benjamin53@johnson.com,61,Female,2025-07-20,Organic,Bronze
72,Kimberly Gibson,cynthia37@yahoo.com,49,Female,2025-11-30,Organic,Silver
73,Kathleen Mejia,charles33@adkins.com,18,Female,2023-03-16,Organic,Silver
74,Vanessa Jones,ramirezchelsea@baker.biz,40,Female,2025-11-11,Social,Silver
75,Cory Myers,anita68@hotmail.com,61,Male,2025-11-22,Referral,Bronze
76,Mike Pittman DDS,ymoore@howard-brown.org,23,Male,2023-05-14,Referral,Platinum
77,Daniel English,andrewsscott@gmail.com,41,Female,2025-02-04,Ads,Platinum
78,James Ford,poolemegan@hall-walsh.com,61,Female,2024-04-04,Referral,Platinum
79,Mary Brewer,hansenkristin@stone.com,38,Female,2023-01-17,Ads,Gold
80,Nicole Jackson,danderson@anderson-tran.info,28,Female,2024-06-21,Referral,Platinum
81,Andrea Flores,virginia53@spears-owens.net,60,Female,2023-05-29,Referral,Bronze
82,Chelsea Schmidt,kathy79@gmail.com,36,Male,2024-05-17,Social,Gold
83,Sarah Williams,keith85@powell.com,25,Female,2024-05-22,Referral,Platinum
84,Carolyn Rodriguez,ufox@howard.com,36,Male,2023-02-19,Ads,Bronze
85,Laurie Rogers,smithjoseph@yahoo.com,30,Male,2025-11-11,Social,Silver
86,Melissa Keith,chandlerstuart@yahoo.com,46,Female,2025-04-16,Social,Platinum
87,Mario Price,jwilson@gmail.com,42,Male,2025-10-12,Social,Bronze
88,Jason Bernard,natalie50@sullivan.net,51,Female,2023-11-15,Ads,Platinum
89,Kevin Jones,dmiller@johnson-palmer.info,23,Female,2025-08-09,Ads,Bronze
90,Linda Howard,rgarner@gmail.com,41,Female,2024-09-20,Social,Bronze
91,Charles Brown,brett74@williams.biz,35,Female,2024-03-26,Organic,Bronze
92,Melissa Simpson,danielturner@yahoo.com,31,Female,2023-02-08,Social,Silver
93,Marissa Blackburn,richardmyers@braun-dean.com,36,Male,2023-03-15,Ads,Platinum
94,Dawn Clark,wrowe@cruz.info,34,Female,2023-03-15,Ads,Bronze
95,Travis Brady,kathleenlewis@bishop.biz,54,Female,2025-06-08,Referral,Silver
96,Travis Hansen,lori59@stewart-copeland.org,34,Female,2025-02-22,Referral,Gold
97,Lisa Bradley,lisahaynes@mitchell-brown.net,27,Female,2024-03-10,Organic,Bronze
98,Mrs. Laura Benjamin,jamesjohnson@hotmail.com,25,Male,2025-05-15,Organic,Gold
99,Joshua Sanchez,alexandercarl@smith.com,62,Male,2024-02-05,Ads,Platinum
100,Lauren Herrera,matthewcantu@rodriguez.com,61,Female,2023-08-28,Ads,Silver
101,Oscar Hall,blairjulia@vazquez-ross.com,28,Male,2024-02-25,Referral,Gold
102,John Fischer,zperkins@gmail.com,54,Female,2024-11-08,Organic,Silver
103,Chelsey Taylor,qstokes@joseph-wilson.com,21,Female,2024-08-01,Referral,Gold
104,Anita Flores,fernandezmegan@gmail.com,62,Male,2025-05-15,Organic,Silver
105,Colleen Smith,timothysharp@hotmail.com,27,Female,2023-09-04,Ads,Silver
106,Jessica Diaz,rebecca48@hotmail.com,40,Female,2025-12-18,Referral,Bronze
107,James Castillo,michael24@hotmail.com,39,Female,2023-04-14,Ads,Silver
108,Alexis Thompson,hmorton@abbott-johnson.biz,54,Female,2023-03-22,Organic,Silver
109,Mary Cook,bbrooks@blankenship.info,22,Female,2023-02-27,Social,Gold
110,Emily Perkins,harringtonjulie@gmail.com,56,Female,2023-06-05,Social,Gold
111,Raymond Gomez MD,cory08@gmail.com,42,Male,2023-12-28,Ads,Silver
112,Drew Mclaughlin,xgonzalez@myers-kim.net,55,Male,2025-02-23,Social,Bronze
113,Patrick Dodson,ramireznathaniel@gmail.com,48,Female,2023-12-03,Social,Silver
114,Michael Stevens,kevin04@gmail.com,23,Female,2024-10-12,Social,Bronze
115,Marcus Lamb,collierbarbara@johnson.info,47,Male,2024-04-12,Social,Gold
116,Sean Roberts,tfoster@gmail.com,52,Male,2025-08-02,Ads,Gold
117,Pamela Jones,esullivan@boyd.org,27,Male,2025-02-12,Social,Platinum
118,Harold Horton,james88@smith.com,45,Female,2024-04-10,Social,Platinum
119,Oscar Clark,charlenehaas@mullins.com,39,Female,2025-04-20,Ads,Gold
120,Christina Hoffman,jmason@richardson.com,50,Female,2023-06-18,Social,Gold
121,Richard Lopez,opeterson@gmail.com,22,Male,2025-03-30,Ads,Bronze
122,Carlos Walters,yeseniasharp@yahoo.com,25,Male,2024-02-18,Referral,Platinum
123,Laura Mcdonald,staceykramer@hotmail.com,18,Female,2024-10-10,Social,Silver
124,Mark Owens,rjohnson@yahoo.com,62,Female,2023-02-22,Ads,Bronze
125,Danielle Rogers,ashley63@davies.org,62,Male,2025-12-29,Ads,Platinum
126,Ricky Acosta,garrettcarson@gmail.com,33,Male,2025-01-02,Organic,Silver
127,Kelsey Velez,ntaylor@yahoo.com,35,Female,2024-06-30,Ads,Platinum
128,Michael Adams,robert68@hotmail.com,56,Male,2025-01-18,Social,Gold
129,Cassie Hess,qcross@rodriguez.org,44,Male,2025-10-07,Organic,Gold
130,John Allen,stacy91@carrillo-johns.org,44,Female,2024-01-20,Referral,Silver
131,Gene Mays,austingonzalez@hotmail.com,62,Male,2024-11-23,Organic,Platinum
132,Gary Vasquez,faulknercaroline@hotmail.com,19,Female,2023-04-07,Ads,Gold
133,Marisa Hull,laurenmontgomery@gmail.com,51,Male,2023-04-06,Ads,Silver
134,Heather Newton,flynnjoshua@morris.com,24,Female,2023-04-19,Organic,Silver
135,Daniel Griffin,ymoore@hotmail.com,63,Male,2023-03-04,Social,Gold
136,John Wright,jaime71@yahoo.com,33,Male,2024-09-11,Organic,Silver
137,Daniel Horne,darrell35@hotmail.com,46,Male,2023-12-29,Social,Bronze
138,Katie Harding,melindabennett@jacobs-bowen.com,52,Female,2024-08-23,Referral,Gold
139,Barbara Sims,stephenbailey@gmail.com,37,Female,2023-05-16,Ads,Platinum
140,Christine Jackson,mccannbrandi@thomas-dixon.org,30,Male,2024-04-22,Organic,Silver
141,Kristen Ashley,caitlinreid@jones.com,58,Male,2023-01-31,Referral,Bronze
142,John Yoder,hallcourtney@smith-spence.com,49,Male,2024-08-21,Social,Bronze
143,Terry Davis,gwendolyn97@martinez.com,43,Female,2023-01-29,Organic,Gold
144,Ryan Miller,matthew81@hotmail.com,62,Female,2023-04-02,Ads,Gold
145,Tyrone Wood,sean32@gmail.com,50,Female,2023-07-15,Social,Silver
146,Shannon Thompson,tiffanylucas@jackson.com,40,Female,2024-02-14,Ads,Gold
147,Julie Wilkins,danielsheppard@wilkinson-webb.com,23,Male,2023-11-29,Referral,Silver
148,Dale Good,cowanstanley@gmail.com,39,Male,2025-11-16,Organic,Silver
149,Lori Crawford,jennifer30@frost.com,60,Female,2025-01-22,Social,Bronze
150,Cory Collins,beasleymark@jones-rivera.com,38,Female,2024-11-17,Social,Gold
151,Angela Villanueva,pboyer@bates.com,29,Male,2024-06-10,Ads,Platinum
152,Dr. David Lowe,david39@hotmail.com,20,Female,2025-07-17,Referral,Bronze
153,Scott Aguilar,ramseymegan@stewart.biz,33,Male,2023-05-13,Referral,Silver
154,Scott Jones,michael99@wagner.info,57,Female,2024-03-15,Organic,Silver
155,Sharon Woods,woodshenry@wright.com,31,Male,2025-05-20,Organic,Silver
156,James Davis,evangarner@morton.biz,45,Female,2023-09-27,Social,Gold
157,Kelsey Nelson,deanthomas@yahoo.com,26,Female,2025-05-09,Social,Platinum
158,Madison Mills,moorebeth@chavez.info,26,Female,2023-12-19,Ads,Silver
159,Renee Moore,tgarcia@holland.com,48,Male,2025-06-18,Social,Platinum
160,Kevin Clark,sarah33@gmail.com,19,Male,2025-04-20,Referral,Bronze
161,Travis Rollins,rperez@reid.info,50,Female,2023-07-04,Social,Silver
162,Clinton Brown,jennifer74@yahoo.com,35,Female,2023-04-08,Organic,Bronze
163,Sabrina Perez,morganaaron@hawkins-taylor.org,44,Male,2023-10-19,Referral,Silver
164,Tiffany Harris MD,jacksongina@yahoo.com,35,Female,2024-06-23,Ads,Platinum
165,Andre Barber,emily16@bowman-franco.org,33,Female,2023-12-21,Social,Silver
166,Justin Castaneda MD,reyesnathaniel@yahoo.com,30,Male,2023-10-10,Social,Platinum
167,Sean Clark,lmiller@hotmail.com,59,Male,2024-10-16,Organic,Gold
168,Alexander Bullock,bray@copeland.com,39,Male,2023-05-24,Ads,Gold
169,Christy Mckinney,sabrina72@mitchell-allison.com,63,Female,2024-01-23,Referral,Bronze
170,John Schaefer,michael23@ross.com,26,Female,2025-11-22,Referral,Silver
171,Cynthia Bird,anne90@hotmail.com,28,Female,2025-01-14,Social,Bronze
172,Stephen Francis,christopher84@hotmail.com,37,Male,2024-11-18,Ads,Bronze
173,Melissa Duncan,peter10@griffin.com,64,Male,2023-11-11,Ads,Gold
174,Katherine Turner,leslie73@gmail.com,39,Female,2024-08-02,Social,Silver
175,Robert Whitney,jessicabennett@gmail.com,55,Female,2024-07-14,Social,Bronze
176,Jacob Wheeler,markbarnett@yahoo.com,36,Male,2023-10-24,Organic,Platinum
177,Dr. Audrey White,mary85@jordan.com,48,Male,2024-07-11,Ads,Platinum
178,Jessica Walker,xmcgee@smith.com,58,Female,2024-06-26,Social,Platinum
179,Kathleen Morales,rogerhatfield@robinson.com,32,Female,2024-04-21,Ads,Platinum
180,Tara Price,michaela39@valencia.biz,56,Male,2024-04-09,Ads,Gold
181,Jamie Ford,jacksondonald@love.com,50,Female,2025-06-12,Social,Platinum
182,Michael Arnold,juliamills@gmail.com,65,Male,2024-07-31,Referral,Silver
183,Jessica Bell,anthony85@leon-alvarado.com,63,Male,2023-08-30,Organic,Silver
184,Chris Simpson,fieldscurtis@hines.com,36,Female,2024-02-01,Ads,Platinum
185,Scott Flores,kristen90@yahoo.com,62,Female,2024-06-18,Organic,Bronze
186,Joshua Goodman,jennifernorton@moss.com,60,Female,2025-09-26,Referral,Silver
187,Danny Watson,hannah63@hotmail.com,61,Female,2025-11-25,Ads,Gold
188,Jennifer Long,jordanlevine@yahoo.com,28,Female,2023-12-03,Ads,Bronze
189,Jeffrey Miller,troymerritt@gmail.com,49,Female,2024-05-21,Organic,Gold
190,Nancy Conway,daniellegomez@skinner.com,31,Male,2024-11-23,Organic,Silver
191,Tiffany Smith,peter04@yahoo.com,63,Male,2023-02-23,Referral,Silver
192,Patricia Blanchard,bushjoseph@gmail.com,54,Male,2024-12-10,Organic,Silver
193,Peggy Foster,brooksjoshua@gmail.com,64,Female,2023-07-31,Organic,Platinum
194,Alyssa Collins,peterwallace@cordova-martinez.com,27,Male,2025-11-19,Referral,Gold
195,Vincent Knapp,boydmaria@lin.com,45,Male,2024-09-13,Ads,Bronze
196,Jennifer Daniel,rose96@carey.net,20,Male,2025-04-18,Organic,Gold
197,Scott Thompson,juan58@king.com,31,Male,2024-12-11,Social,Gold
198,Mary Jones,mbowman@king.com,30,Female,2025-04-06,Social,Platinum
199,Robert Mills,jamiestewart@yahoo.com,19,Male,2024-11-24,Social,Platinum
200,Nicholas Buchanan,hurstdonald@yahoo.com,28,Female,2025-05-24,Organic,Gold
201,Rachel Rivera,marie69@yahoo.com,42,Female,2024-09-08,Social,Gold
202,Cassandra Jones,kherrera@malone.com,47,Female,2025-09-09,Ads,Platinum
203,Christopher Williams,hesswilliam@carpenter.com,39,Female,2025-09-04,Ads,Gold
204,Wendy Poole,lmurphy@hotmail.com,19,Female,2023-10-01,Ads,Silver
205,Tyler Miller,lezachary@rivera.net,62,Female,2024-12-12,Referral,Bronze
206,Brian Watkins,mahoneybryan@lee.net,46,Male,2024-03-24,Ads,Gold
207,Paul Wilcox,ricky02@lewis.com,36,Male,2025-07-15,Referral,Gold
208,Stacey Myers,josephcook@boyer-wright.info,28,Female,2024-10-02,Referral,Gold
209,Kayla Dodson,scoleman@cunningham.net,27,Male,2025-10-26,Social,Silver
210,Lori Dougherty,jamessmith@yahoo.com,22,Female,2025-06-17,Ads,Bronze
211,Erika Jones,lauraperez@hotmail.com,22,Male,2025-09-25,Organic,Gold
212,Randall Mitchell,nhines@hotmail.com,41,Female,2025-08-16,Ads,Gold
213,Jacob Harvey,pcox@guzman.com,38,Male,2023-05-01,Organic,Silver
214,Bianca Mckenzie,xjones@hotmail.com,20,Male,2025-12-14,Social,Platinum
215,Walter Hodge,ihull@gmail.com,57,Female,2023-08-13,Social,Silver
216,Elizabeth Sanders,davisphillip@hotmail.com,19,Male,2023-12-09,Ads,Bronze
217,Andrew Garcia MD,aaron14@pratt.com,30,Female,2023-11-09,Referral,Silver
218,Kyle Ross,david14@gmail.com,64,Male,2025-10-15,Referral,Gold
219,Joseph Taylor,pdowns@hotmail.com,36,Male,2024-11-25,Referral,Silver
220,Dustin Hernandez,autumntaylor@ramos-faulkner.biz,45,Male,2025-03-07,Ads,Bronze
221,Kenneth Martin,jesse71@cannon.com,54,Female,2025-02-24,Organic,Silver
222,Michelle Curtis,ssmith@lawrence.com,63,Male,2025-12-19,Organic,Gold
223,Linda Drake,dawnjacobs@barry-perry.com,63,Male,2023-12-10,Ads,Platinum
224,Samantha Floyd,johnsonmelissa@white.com,54,Female,2025-07-07,Organic,Bronze
225,Jessica Smith,lambbeth@parker.com,36,Female,2023-06-09,Ads,Bronze
226,Martin Smith,samantha84@gmail.com,26,Male,2025-12-20,Referral,Gold
227,Amber Mills,danielsjohnathan@bryant.com,37,Female,2023-01-14,Organic,Bronze
228,Wendy Vasquez,hhodge@yahoo.com,53,Male,2025-11-06,Organic,Silver
229,Linda Savage,robertbuckley@harris.com,37,Male,2024-11-21,Ads,Gold
230,Stephen Martin,jguerrero@hotmail.com,48,Male,2025-08-24,Referral,Silver
231,Javier Black,seanthornton@wallace-mcclure.com,56,Female,2025-03-30,Referral,Platinum
232,Daniel Mcclure,vvargas@yahoo.com,45,Female,2023-04-21,Organic,Silver
233,Lauren Duffy,vthomas@hotmail.com,49,Male,2024-03-20,Ads,Silver
234,David Mosley,suzannebrown@jacobson.com,25,Male,2024-03-03,Referral,Bronze
235,Kelly Hebert,hufftrevor@hotmail.com,28,Male,2025-12-20,Referral,Bronze
236,Nicole Reese,patricknelson@miller.com,32,Male,2025-02-20,Organic,Gold
237,Justin Love,marypowell@hotmail.com,55,Female,2023-06-01,Organic,Silver
238,Samuel Farley,donovanrobert@hotmail.com,57,Male,2025-04-14,Organic,Platinum
239,Ian Hall,woodssarah@yahoo.com,61,Female,2024-06-24,Ads,Gold
240,Michael Green,kendramcdonald@johnson.biz,28,Male,2024-03-29,Organic,Bronze
241,Harry Scott,sheltonmichael@gmail.com,61,Male,2024-09-21,Referral,Bronze
242,Matthew Anderson,emilysmith@gmail.com,60,Male,2024-08-06,Referral,Gold
243,Kiara Vega,imcdonald@hotmail.com,43,Male,2023-12-16,Organic,Platinum
244,Randy Martinez,ekirby@hotmail.com,27,Male,2023-10-07,Social,Platinum
245,Sharon Patrick,xhoward@yahoo.com,49,Male,2024-03-09,Ads,Bronze
246,Peter Wolf,melissabaker@jimenez.org,48,Male,2023-07-28,Organic,Silver
247,Barbara Richard,allenvazquez@king.info,62,Male,2023-09-19,Organic,Platinum
248,Donald Stuart,cpotter@palmer.org,36,Male,2024-11-10,Ads,Bronze
249,Christina Le,qmiller@powell.biz,25,Male,2024-02-14,Referral,Silver
250,Allison Stewart,sarah45@adams-clark.net,19,Male,2024-04-18,Ads,Gold
251,Victoria Harvey,gregoryhubbard@holt.com,55,Female,2024-10-03,Social,Bronze
252,Angel Jones,tfox@holmes.net,49,Male,2024-12-08,Ads,Platinum
253,Austin Hanson,riceangela@gmail.com,43,Female,2025-12-29,Organic,Platinum
254,Wendy Short,fsmith@thomas.net,47,Female,2025-07-30,Referral,Gold
255,Brandy Boyd,jpayne@johnson-palmer.com,63,Female,2025-09-14,Referral,Silver
256,Antonio Carter,jacobjacobs@yahoo.com,22,Female,2023-12-13,Referral,Bronze
257,Sarah Butler PhD,frenchkathryn@yahoo.com,43,Male,2024-05-21,Referral,Platinum
258,Dennis Brown,edwardsrobert@hotmail.com,59,Male,2025-05-04,Organic,Bronze
259,Amber Zamora,castanedacorey@hotmail.com,38,Female,2023-10-18,Organic,Silver
260,Natalie Ellison,alisonsullivan@hawkins-payne.info,54,Female,2025-07-09,Referral,Bronze
261,Joseph Erickson,jefferydouglas@lee.org,45,Female,2023-04-14,Social,Bronze
262,Amber Williams,scott27@hotmail.com,18,Female,2023-09-08,Ads,Platinum
263,Donna Cordova,gfuller@taylor.info,56,Female,2023-02-16,Social,Silver
264,Lisa Ayala,ernestsmith@hotmail.com,63,Male,2023-06-22,Referral,Silver
265,Jessica Garcia,brentgomez@smith.com,62,Female,2025-10-16,Organic,Bronze
266,John Farley,hernandezjasmine@gmail.com,49,Male,2024-03-04,Ads,Bronze
267,Amanda Ryan,sle@gmail.com,19,Female,2025-01-20,Organic,Gold
268,Dale Henson,umeyer@gmail.com,59,Male,2024-09-12,Social,Silver
269,Christopher Lawson,aduffy@turner-marks.com,33,Male,2023-06-28,Referral,Gold
270,Chelsea Morrison,michael96@gmail.com,31,Male,2023-01-02,Social,Gold
271,Monica Stephens,linda11@weaver-lambert.com,52,Female,2024-05-17,Ads,Gold
272,Joanna Martin,nelsonkeith@yahoo.com,62,Male,2025-03-12,Referral,Silver
273,Casey Smith,lprince@garrison.biz,47,Female,2025-05-26,Organic,Platinum
274,Steven Young,bkline@griffin-benton.biz,29,Male,2023-04-19,Ads,Silver
275,Heather Fuentes,robertalvarez@hotmail.com,61,Female,2024-07-07,Ads,Gold
276,Thomas Higgins,kathleen35@yahoo.com,40,Female,2024-03-13,Organic,Silver
277,Ronald Brown,marybradford@gmail.com,57,Male,2024-11-20,Social,Bronze
278,Dominique Wu,floressamantha@smith.biz,31,Female,2023-12-21,Referral,Silver
279,Renee Vaughan,jessicabenson@jones.biz,45,Female,2025-05-01,Referral,Platinum
280,Nicole Hutchinson,sydneyalvarado@daugherty-thomas.com,30,Female,2024-09-01,Referral,Silver
281,Ryan Keith,danielwilkerson@yahoo.com,33,Male,2025-10-01,Organic,Gold
282,Gabrielle Smith,nicoleharrison@cross-harrington.biz,62,Male,2023-10-04,Social,Gold
283,Melissa Perkins,david00@martin.com,46,Female,2025-11-19,Ads,Platinum
284,Kristy Dawson,gshields@harris.com,44,Female,2025-07-06,Social,Platinum
285,Seth Turner,youngjason@warren.com,63,Female,2024-08-17,Organic,Platinum
286,Matthew Perkins,allenbill@gmail.com,32,Female,2024-07-27,Organic,Silver
287,Jonathon Gray,webbapril@gmail.com,20,Female,2023-03-02,Referral,Bronze
288,Mary James,lisajohnson@hotmail.com,47,Female,2025-07-03,Ads,Silver
289,Valerie Kelly,jacquelinerodriguez@hotmail.com,54,Female,2025-03-01,Social,Platinum
290,Andrew Sullivan,redwards@smith-robinson.com,20,Male,2025-05-25,Ads,Gold
291,Kimberly Cohen,jennifermiller@hotmail.com,50,Female,2023-01-17,Organic,Bronze
292,David Oconnor,timothyrobbins@gmail.com,25,Female,2025-03-11,Ads,Bronze
293,Zachary Novak,lisa65@yahoo.com,41,Female,2024-06-07,Referral,Bronze
294,Tyler Thomas,fpeterson@yahoo.com,63,Female,2025-08-31,Referral,Platinum
295,Eric Rogers,nicole53@gmail.com,22,Male,2024-12-29,Social,Platinum
296,Jeff Garcia,owenspaul@gmail.com,25,Male,2023-06-24,Ads,Platinum
297,Steven Maxwell,lindsey36@hotmail.com,19,Male,2023-01-07,Social,Bronze
298,Jason Dennis,carla80@yahoo.com,23,Male,2023-08-28,Social,Bronze
299,Matthew Mcgee,victoria17@tucker.com,39,Female,2025-05-16,Ads,Gold
300,Kimberly Whitehead,nbutler@gmail.com,42,Female,2023-08-19,Ads,Silver
301,Mr. Larry Griffith,fjoseph@evans-allen.com,65,Female,2025-06-18,Referral,Platinum
302,Kathryn Boone,mathisarthur@yahoo.com,50,Female,2024-09-21,Referral,Platinum
303,Marvin Dunn,kingnicholas@williams.com,46,Male,2025-03-05,Ads,Bronze
304,Jason Williams,isabella37@hotmail.com,30,Female,2024-04-03,Ads,Gold
305,Emma Smith,hyoung@wilkins.com,35,Female,2025-09-18,Ads,Platinum
306,Amber Kerr,andersonchristopher@gardner.net,45,Male,2025-12-29,Organic,Silver
307,Corey Sweeney,tsmith@hotmail.com,18,Male,2023-08-11,Organic,Platinum
308,Joseph Jackson,adam13@davila-torres.com,59,Male,2023-02-20,Referral,Platinum
309,Amy Torres,beverly26@gmail.com,27,Male,2025-03-14,Social,Platinum
310,Samantha Gilbert,umoore@walsh.com,35,Male,2025-05-27,Organic,Platinum
311,John Anderson,rodneyramirez@hotmail.com,65,Male,2025-02-06,Social,Silver
312,Stephanie Walsh,john28@yahoo.com,52,Female,2025-05-06,Organic,Gold
313,Dustin Wolfe,jacqueline32@baker.biz,61,Female,2023-07-14,Organic,Silver
314,Karen Hurst,juliesharp@stark-harris.com,34,Male,2023-01-15,Organic,Platinum
315,William Gonzalez,snydervickie@potts.com,61,Female,2025-04-10,Organic,Bronze
316,Ryan Boyd,hfisher@yahoo.com,22,Male,2025-04-25,Social,Gold
317,Mr. Edward Mcneil,ericdixon@burke-espinoza.com,19,Male,2024-04-18,Ads,Gold
318,Patricia Glass,wshea@gmail.com,53,Female,2023-07-16,Referral,Platinum
319,Jose Cook,karen80@hotmail.com,47,Male,2024-12-03,Organic,Platinum
320,Ryan Lopez,nshepard@yahoo.com,29,Female,2023-04-30,Ads,Gold
321,Dana Bailey,whall@hotmail.com,63,Male,2024-04-14,Ads,Silver
